Compound,_feat_heteroaromaticringcount_std,_feat_aliphaticatomcount_std,_feat_asa+_std,_feat_asap_std,_feat_asah_std,_feat_asa-_std,_feat_asa_std,_feat_asavdwp_std,_feat_hdonorcount_std,_feat_hacceptorcount_std,_feat_protpsa_std,_feat_minimalprojectionsize_std,_feat_maximalprojectionsize_std,_feat_donsitecount_std,_feat_accsitecount_std,_feat_vanderwaalsvolume_std,_feat_maximalprojectionradius_std,_feat_minimalprojectionradius_std,_feat_maximalprojectionarea_std,_feat_minimalprojectionarea_std,_feat_wienerpolarity_std,_feat_wienerindex_std,_feat_hyperwienerindex_std,_feat_cyclomaticnumber_std,_feat_balabanindex_std,_feat_rotatablebondcount_std,_feat_heteroaliphaticringcount_std,_feat_largestringsize_std,_feat_smallestringsize_std,_feat_ringatomcount_std,_feat_chiralcentercount_std,_feat_chainatomcount_std,_feat_carboringcount_std,_feat_carboaromaticringcount_std,_feat_carboaliphaticringcount_std,_feat_bondcount_std,_feat_aromaticatomcount_std,_feat_aromaticringcount_std,_feat_aliphaticringcount_std,_feat_refractivity_std,_feat_molpol_std,_feat_avgpol_std,_feat_atomcount_n_std,_feat_atomcount_c_std,_feat_organoammoniummolecularweight_std
[NH3+]CCC1=CC=C(F)C=C1,0,4,207.04,80.92,230.35,104.23,311.27,224.66,1,0,27.64,10.8,5.08,3,0,135.05,5.49,3.37,48.87,25.38,10,127,296,1,2.13,2,0,6,6,6,0,4,1,1,0,21,6,1,0,50.8,15.04,14.8,1,8,140.181
[NH3+]C1=CC=C(F)C=C1,0,2,223.51,84.41,171.72,32.62,256.13,163.01,1,0,27.64,8.57,3.97,3,0,101.09,4.29,3.35,40.17,20.46,7,62,115,1,2.19,0,0,6,6,6,0,2,1,1,0,15,6,1,0,41.21,11.42,10.83,1,6,112.12700000000001
[NH3+]CC1=CC=C(C=C1)C(F)(F)F,0,6,177.72,149.38,177.53,149.19,326.91,236.68,1,0,27.64,10.59,5.23,3,0,145.09,5.39,3.52,50.8,27.16,15,201,496,1,2.36,2,0,6,6,6,0,6,1,1,0,21,6,1,0,51.8,14.75,15.12,1,8,176.162
[NH3+]C1=CC=C(C=C1)C(F)(F)F,0,5,189.88,155.76,146.27,112.15,302.03,206.0,1,0,27.64,9.5,5.02,3,0,128.06,4.78,3.48,46.91,23.91,13,152,340,1,2.18,1,0,6,6,6,0,5,1,1,0,18,6,1,0,46.96,12.94,13.18,1,7,162.135
CC(C)(C)CC(C)(C)[NH3+],0,9,239.21,21.36,283.03,65.18,304.39,301.19,1,0,27.64,9.14,6.06,3,0,162.42,4.64,3.39,45.62,31.48,6,88,173,0,3.75,2,0,0,0,0,0,9,0,0,0,28,0,0,0,53.17,16.96,17.19,1,8,130.254
[NH3+]C1=CC=CC=C1,0,1,179.39,51.71,197.52,69.84,249.23,155.97,1,0,27.64,8.0,3.87,3,0,96.22,4.01,3.4,38.57,20.14,5,42,71,1,1.82,0,0,6,6,6,0,1,1,1,0,15,6,1,0,40.99,11.79,10.73,1,6,94.13600000000001
CC(C)(C)[NH3+],0,5,175.03,34.38,207.3,66.66,241.69,177.46,1,0,27.64,5.77,5.96,3,0,93.72,3.38,3.36,29.4,25.82,0,16,22,0,3.02,0,0,0,0,0,0,5,0,0,0,16,0,0,0,35.02,9.57,9.73,1,4,74.146
[NH3+]CC1=CC=C(F)C=C1,0,3,185.74,78.32,201.33,93.91,279.65,193.91,1,0,27.64,9.78,5.21,3,0,118.01,4.92,3.37,43.98,24.13,9,90,187,1,1.94,1,0,6,6,6,0,3,1,1,0,18,6,1,0,46.04,13.28,12.74,1,7,126.154
[NH3+]C1CCCCC1,0,7,190.24,39.52,200.22,49.5,239.74,203.39,1,0,27.64,8.2,5.38,3,0,116.34,4.16,3.63,39.89,27.29,5,42,71,1,1.82,0,0,6,6,6,0,1,1,0,1,21,0,0,1,42.23,12.53,12.76,1,6,100.184
C1C[NH+]2CCC1CC2,0,8,183.0,9.24,218.97,45.2,228.21,213.9,1,0,4.44,7.11,6.87,1,0,124.01,3.57,3.45,35.14,30.34,7,54,87,2,2.03,0,2,6,6,8,0,0,0,0,0,23,0,0,2,45.96,13.63,13.6,1,7,112.195
C1=CC=[NH+]C=C1,1,0,222.49,54.82,185.06,17.39,239.88,132.81,1,0,14.14,7.22,3.4,1,0,80.02,3.62,3.39,33.64,19.09,3,27,42,1,2.0,0,0,6,6,6,0,0,0,0,0,12,6,1,0,25.16,9.68,8.66,1,5,80.109
CC[NH2+]CC,0,5,206.64,19.64,267.53,80.53,287.17,177.5,1,0,16.61,9.15,5.73,2,0,93.95,4.54,2.8,34.28,19.22,2,20,35,0,2.19,2,0,0,0,0,0,5,0,0,0,16,0,0,0,35.61,9.57,10.0,1,4,74.146
CCCCCCCC[NH3+],0,9,297.41,42.47,351.81,96.87,394.28,295.58,1,0,27.64,14.18,5.48,3,0,161.41,7.17,3.21,57.88,24.43,6,120,330,0,2.6,6,0,0,0,0,0,9,0,0,0,28,0,0,0,53.49,16.96,18.22,1,8,130.254
C1COCC[NH2+]1,0,6,215.5,38.63,191.91,15.05,230.55,163.85,1,1,25.84,6.7,5.52,2,2,92.0,3.64,3.25,32.51,23.07,3,27,42,1,2.0,0,1,6,6,6,0,0,0,0,0,16,0,0,1,35.18,9.53,9.76,1,4,88.12899999999999
CCCCCC[NH3+],0,7,246.47,42.47,285.95,81.96,328.43,234.33,1,0,27.64,11.69,5.92,3,0,127.43,5.85,2.89,45.87,20.7,4,56,126,0,2.45,4,0,0,0,0,0,7,0,0,0,22,0,0,0,44.29,13.27,14.07,1,6,102.2
C1CC[NH2+]CC1,0,6,172.57,22.25,205.89,55.57,228.15,178.29,1,0,16.61,6.9,5.43,2,0,99.77,3.67,3.67,34.67,26.6,3,27,42,1,2.0,0,1,6,6,6,0,0,0,0,0,18,0,0,1,38.25,10.68,10.82,1,5,86.15700000000001
[NH3+]CC1CCCCC1,0,8,213.57,41.18,224.73,52.34,265.92,233.86,1,0,27.64,9.33,5.66,3,0,133.35,4.78,3.7,45.68,28.32,7,64,122,1,2.13,1,0,6,6,6,0,2,1,0,1,24,0,0,1,46.96,14.37,14.74,1,7,114.211
[NH3+]CCCC[NH3+],0,6,230.32,97.85,175.02,42.55,272.87,192.61,2,0,55.28,10.3,5.32,6,0,107.81,5.15,2.86,39.38,19.69,3,35,70,0,2.34,3,0,0,0,0,0,6,0,0,0,19,0,0,0,49.96,11.03,11.75,2,4,90.169
[NH3+]C1=CC=C([NH3+])C=C1,0,2,256.81,103.52,153.29,0.0,256.81,176.15,2,0,55.28,8.86,4.31,6,0,110.43,4.46,3.5,42.74,22.02,7,62,115,1,2.19,0,0,6,6,6,0,2,1,1,0,18,6,1,0,55.92,13.2,12.61,2,6,110.15899999999999
C[NH+](C)CC[NH3+],0,6,229.29,56.48,218.87,46.05,275.35,202.37,2,0,32.08,9.08,5.31,4,0,109.27,4.55,3.13,39.14,22.95,3,32,58,0,2.63,2,0,0,0,0,0,6,0,0,0,19,0,0,0,50.25,11.03,11.57,2,4,90.169
CC[NH+](CC)CCC[NH3+],0,9,285.85,54.74,304.69,73.58,359.43,294.02,2,0,32.08,10.69,6.0,4,0,160.34,5.42,4.32,55.8,34.16,8,104,242,0,3.09,5,0,0,0,0,0,9,0,0,0,28,0,0,0,64.61,16.56,17.53,2,7,132.25
C1C[NH2+]CC[NH2+]1,0,6,211.24,44.06,167.18,0.0,211.24,171.04,2,0,33.22,6.84,5.31,4,0,97.66,3.65,3.56,34.14,25.76,3,27,42,1,2.0,0,1,6,6,6,0,0,0,0,0,18,0,0,1,48.28,10.29,10.57,2,4,88.15299999999999
[NH3+]CC[NH+]1CCCC1,0,8,258.43,54.76,226.65,22.98,281.41,235.46,2,0,32.08,10.25,6.39,4,0,131.49,5.03,3.23,44.29,25.85,5,67,135,1,2.06,2,1,5,5,5,0,3,0,0,0,24,0,0,1,57.79,13.98,14.6,2,6,116.20700000000001
CC(C)[NH2+]C(C)C,0,7,230.8,13.65,288.54,71.4,302.2,236.93,1,0,16.61,8.46,6.12,2,0,128.14,4.49,3.37,41.21,28.74,4,48,91,0,2.95,2,0,0,0,0,0,7,0,0,0,22,0,0,0,44.44,13.27,13.62,1,6,102.2
C[NH+](C)CCC[NH3+],0,7,244.08,57.48,251.42,64.81,308.89,232.97,2,0,32.08,10.09,5.66,4,0,126.21,5.19,3.28,44.72,24.96,4,52,108,0,2.68,3,0,0,0,0,0,7,0,0,0,22,0,0,0,55.11,12.87,13.6,2,5,104.196
COC1=CC=C(CC[NH3+])C=C1,0,5,293.82,67.01,303.81,77.0,370.82,265.89,1,1,36.87,12.05,6.17,3,2,156.29,6.03,3.45,53.7,28.03,12,170,432,1,1.94,3,0,6,6,6,0,5,1,1,0,25,6,1,0,57.04,17.92,17.7,1,9,152.216
[NH3+]CCC1=CC=C(O)C=C1,0,4,236.55,92.55,221.48,77.47,314.02,229.02,2,1,47.87,11.21,5.39,4,2,138.66,5.56,3.47,49.81,25.82,10,127,296,1,2.13,2,0,6,6,6,0,4,1,1,0,22,6,1,0,52.56,16.0,15.68,1,8,138.189
[NH3+]CCc1ccc(Cl)cc1,0,4,195.52,48.42,273.88,126.77,322.3,234.04,1,0,27.64,11.47,5.47,3,0,144.11,5.82,3.37,52.18,25.39,10,127,296,1,2.13,2,0,6,6,6,0,4,1,1,0,21,6,1,0,55.38,17.25,17.0,1,8,156.63
[NH3+]C1=CC=C(Cl)C=C1,0,2,182.78,51.78,215.54,84.54,267.32,172.42,1,0,27.64,9.24,4.01,3,0,110.15,4.62,3.35,43.22,20.94,7,62,115,1,2.19,0,0,6,6,6,0,2,1,1,0,15,6,1,0,45.79,13.62,12.96,1,6,128.58
