Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,1,10188,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
5,B,1,B1,95,1,10237,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
2,C,1,C1,95,1,10189,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
6,D,1,D1,95,1,10238,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
3,E,1,E1,95,1,10213,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
7,F,1,F1,95,1,10260,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
4,G,1,G1,95,1,10214,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
8,H,1,H1,95,1,10261,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
9,A,2,A2,95,4,177274,1,testharness_SVM-RBC-rxnonly_1.0,Scott Novotney,Radial basis classifier svm w/only rxn features,
13,B,2,B2,95,4,177368,1,testharness_SVM-RBC-rxnonly_1.0,Scott Novotney,Radial basis classifier svm w/only rxn features,
10,C,2,C2,95,4,177299,1,testharness_SVM-RBC-rxnonly_1.0,Scott Novotney,Radial basis classifier svm w/only rxn features,
14,D,2,D2,95,4,177389,1,testharness_SVM-RBC-rxnonly_1.0,Scott Novotney,Radial basis classifier svm w/only rxn features,
11,E,2,E2,95,4,177323,1,testharness_SVM-RBC-rxnonly_1.0,Scott Novotney,Radial basis classifier svm w/only rxn features,
15,F,2,F2,95,4,177409,1,testharness_SVM-RBC-rxnonly_1.0,Scott Novotney,Radial basis classifier svm w/only rxn features,
12,G,2,G2,95,4,177346,1,testharness_SVM-RBC-rxnonly_1.0,Scott Novotney,Radial basis classifier svm w/only rxn features,
16,H,2,H2,95,4,177428,1,testharness_SVM-RBC-rxnonly_1.0,Scott Novotney,Radial basis classifier svm w/only rxn features,
17,A,3,A3,95,4,341894,4,testharness_rxnIntuitionSVM_1.0,Scott Novotney,Scott Novotney and Josh Schrier rxn inution only svm inorganic and acid amounts; Model Description: RBF xgb w/org/inorg ratioinorganic and acid amounts,
21,B,3,B3,95,4,342099,4,testharness_rxnIntuitionSVM_1.0,Scott Novotney,Scott Novotney and Josh Schrier rxn inution only svm inorganic and acid amounts; Model Description: RBF xgb w/org/inorg ratioinorganic and acid amounts,
