Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,67,1,203285,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
2,C,1,C1,67,1,33042,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
3,E,1,E1,67,1,389287,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
4,G,1,G1,67,1,187191,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
5,B,1,B1,67,1,352763,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
6,D,1,D1,67,1,47441,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
7,F,1,F1,67,1,95823,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
8,H,1,H1,67,1,313093,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
9,A,2,A2,67,1,320819,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
10,C,2,C2,67,1,113429,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
11,E,2,E2,67,1,45650,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
12,G,2,G2,67,1,10532,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
13,B,2,B2,67,1,275192,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
14,D,2,D2,67,1,316275,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
15,F,2,F2,67,1,213761,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
