Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,3,219,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
5,B,1,B1,95,1,2046,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
2,C,1,C1,95,1,1548,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
6,D,1,D1,95,1,2454,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
3,E,1,E1,95,1,1548,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
7,F,1,F1,95,4,3684,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
4,G,1,G1,95,1,1986,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
8,H,1,H1,95,3,3835,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
9,A,2,A2,95,1,4738,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
13,B,2,B2,95,1,9410,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
10,C,2,C2,95,3,6251,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
14,D,2,D2,95,1,9410,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
11,E,2,E2,95,2,7363,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
15,F,2,F2,95,1,9410,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
12,G,2,G2,95,3,8843,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
16,H,2,H2,95,1,9410,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
17,A,3,A3,95,1,9410,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
21,B,3,B3,95,1,11718,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
18,C,3,C3,95,1,9410,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
22,D,3,D3,95,1,12250,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
19,E,3,E3,95,1,9410,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
23,F,3,F3,95,1,12250,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
20,G,3,G3,95,1,10518,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
24,H,3,H3,95,1,12250,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
25,A,4,A4,95,1,12250,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
29,B,4,B4,95,4,15388,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
26,C,4,C4,95,1,12410,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_0.2Jit_9-10-TrainingSet	Alex Cristofaro	Predictions for the Ethyl amine,
