Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,94,2,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
5,B,1,B1,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
2,C,1,C1,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
6,D,1,D1,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
3,E,1,E1,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
7,F,1,F1,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
4,G,1,G1,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
8,H,1,H1,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
9,A,2,A2,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
13,B,2,B2,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
10,C,2,C2,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
14,D,2,D2,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
11,E,2,E2,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
15,F,2,F2,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
12,G,2,G2,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
16,H,2,H2,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
17,A,3,A3,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
21,B,3,B3,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
18,C,3,C3,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
22,D,3,D3,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
19,E,3,E3,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
23,F,3,F3,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
20,G,3,G3,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
24,H,3,H3,94,1,,,escalate_Prototyping_0,escalate_2.0,Manually Specified Experiments,
