Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
11,E,2,E2,67,1,22627,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
12,G,2,G2,67,3,9558,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
13,B,2,B2,67,1,13159,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
14,D,2,D2,67,1,4240,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
15,F,2,F2,67,1,56928,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
16,H,2,H2,67,1,82058,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
17,A,3,A3,67,4,29003,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
18,C,3,C3,67,1,79076,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
19,E,3,E3,67,1,65053,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
20,G,3,G3,67,1,12999,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
21,B,3,B3,67,2,64988,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
22,D,3,D3,67,4,7100,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
23,F,3,F3,67,1,496,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
24,H,3,H3,67,2,70790,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
25,A,4,A4,67,1,52178,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
26,C,4,C4,67,1,13396,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
27,E,4,E4,67,1,99410,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
28,G,4,G4,67,1,99990,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
29,B,4,B4,67,1,63424,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
30,D,4,D4,67,2,96322,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
31,F,4,F4,67,1,98711,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
32,H,4,H4,67,4,42233,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
33,A,5,A5,67,1,5106,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
34,C,5,C5,67,3,76388,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
35,E,5,E5,67,1,58572,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
36,G,5,G5,67,1,73976,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
37,B,5,B5,67,1,74228,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
38,D,5,D5,67,1,6070,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
39,F,5,F5,67,4,44349,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
40,H,5,H5,67,1,30185,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
41,A,6,A6,67,1,17499,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
42,C,6,C6,67,1,17116,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
43,E,6,E6,67,1,86946,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
44,G,6,G6,67,1,84987,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
45,B,6,B6,67,1,93927,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
46,D,6,D6,67,1,11528,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
47,F,6,F6,67,2,43681,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
48,H,6,H6,67,1,63514,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
49,A,7,A7,67,1,445549,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
50,C,7,C7,67,1,322247,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
51,E,7,E7,67,1,495937,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
52,G,7,G7,67,1,379265,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
53,B,7,B7,67,1,702793,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
54,D,7,D7,67,1,836735,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
55,F,7,F7,67,1,753181,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
56,H,7,H7,67,1,893753,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
57,A,8,A8,67,1,954733,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
58,C,8,C8,67,1,836735,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
59,E,8,E8,67,1,1005121,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
60,G,8,G8,67,1,893753,4,escalation_HC.RL_0,Dylan Slack,"dslack-rl	Dylan Slack	Step 1, deep RL",
61,B,8,B8,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
62,D,8,D8,67,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
63,F,8,F8,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
64,H,8,H8,67,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
65,A,9,A9,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
66,C,9,C9,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
67,E,9,E9,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
68,G,9,G9,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
69,B,9,B9,67,3,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
70,D,9,D9,67,1,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
71,F,9,F9,67,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
72,H,9,H9,67,1,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
