Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
2,C,1,C1,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
3,E,1,E1,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
4,G,1,G1,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
17,A,3,A3,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
18,C,3,C3,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
19,E,3,E3,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
20,G,3,G3,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
33,A,5,A5,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
34,C,5,C5,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
35,E,5,E5,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
36,G,5,G5,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
49,A,7,A7,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
50,C,7,C7,0,25,3,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
51,E,7,E7,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
52,G,7,G7,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
65,A,9,A9,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
66,C,9,C9,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
67,E,9,E9,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
68,G,9,G9,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
81,A,11,A11,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
82,C,11,C11,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
83,E,11,E11,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
84,G,11,G11,0,25,4,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,,
